"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SN74HCT245DWR","Texas Instruments","296-1208-1-ND","","","Cut Tape (CT)","Active","3","1.06000","$3.18","11714","8 Weeks","IC TXRX NON-INVERT 5.5V 20SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"4816P-T01-101LF","Bourns Inc.","4816P-T01-101LF-ND","","","Tube","Active","3","1.69000","$5.07","548","7 Weeks","RES ARRAY 8 RES 100 OHM 16SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"30310-6002HB","3M","30310-6002HB-ND","","","Bulk","Active","3","0.91000","$2.73","18679","7 Weeks","CONN HEADER 10POS DL STR GOLD","RoHS Compliant","Lead free","Not Available"
"OSTVN02A150","On Shore Technology Inc.","ED10561-ND","","","Bulk","Active","1","1.29000","$1.29","33001","12 Weeks","CONN TERM BLOCK 2.54MM 2POS PCB","RoHS Compliant","Lead free","REACH Unaffected"
"61729-0010BLF","Amphenol FCI","609-1039-ND","","","Tube","Active","1","1.37000","$1.37","32899","8 Weeks","CONN RCPT USB TYPE B R/A PCB","RoHS Compliant","Lead free","Not Available"
"GRM31CR71H105KA61L","Murata Electronics North America","490-3908-1-ND","","","Cut Tape (CT)","Active","3","0.55000","$1.65","20000","Not Available","CAP CER 1UF 50V X7R 1206","RoHS Compliant","Lead free","Not Available"
"DEV-14057","SparkFun Electronics","1568-1442-ND","","","Bulk","Active","1","46.02000","$46.02","1141","8 Weeks","TEENSY 3.6","Not applicable","Lead free","Not Available"
"HDR100IMP40F-G-V-TH","Chip Quik Inc.","HDR100IMP40F-G-V-TH-ND","","","Bulk","Active","2","1.54000","$3.08","1697","4 Weeks","0.1"" 40 PIN VERTICAL FEMALE HEAD","RoHS Compliant","Lead free","REACH Unaffected"
"61304011121","Wurth Electronics Inc.","732-5334-ND","","","Bag","Active","2","2.04000","$4.08","2631","14 Weeks","CONN HEADER 40 POS 2.54","RoHS Compliant","Lead free","REACH Unaffected"
"H3DDH-1018G","Assmann WSW Components","H3DDH-1018G-ND","","","Bulk","Active","3","2.14000","$6.42","0","Not Available","IDC CBL - HHKR10H/AE10G/HHKR10H","RoHS Compliant","Lead free","REACH Unaffected"
